world_rank,university_name,country,continent,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,female
351-400,University of St Gallen,Switzerland,Europe,25.8,97.6,11.2,53.5,41.8,35.5,6848.0,10.8,34.0,32 : 68,32.0
351-400,Graz University of Technology,Austria,Europe,26.0,69.3,15.8,52.9,77.2,35.5,7542.0,12.5,16.0,22 : 78,22.0
351-400,University of Guelph,Canada,North_America,28.0,53.6,34.2,44.4,47.4,37.2,21643.0,28.3,4.0,60 : 40,60.0
351-400,Hanyang University,South Korea,Asia,33.9,54.3,32.6,31.1,87.9,35.5,16729.0,10.4,19.0,,
351-400,Hong Kong Baptist University,Hong Kong,Asia,22.6,75.0,12.1,67.9,28.8,37.1,10441.0,11.0,25.0,61 : 39,61.0
351-400,University of Houston,United States of America,North_America,34.9,33.9,26.5,52.0,42.3,37.6,40325.0,43.7,9.0,50 : 50,50.0
351-400,Indian Institute of Technology Bombay,India,Asia,37.8,17.7,28.6,48.5,42.3,36.9,8327.0,14.9,1.0,16 : 84,16.0
351-400,Instituto Superior Técnico Lisboa,Portugal,Europe,22.2,43.7,25.0,59.8,38.8,36.3,11778.0,16.9,9.0,27 : 73,27.0
351-400,University of Jyväskylä,Finland,Europe,28.2,47.1,25.5,55.5,34.2,37.1,9703.0,15.2,5.0,62 : 38,62.0
351-400,La Trobe University,Australia,Oceania,27.0,78.0,28.5,45.4,43.7,37.2,22037.0,29.0,27.0,63 : 37,63.0
351-400,Loughborough University,United Kingdom,Europe,31.2,72.9,32.2,41.3,36.6,37.8,13951.0,15.9,22.0,38 : 62,38.0
351-400,University of Manitoba,Canada,North_America,27.1,57.8,26.9,49.7,41.8,36.5,28576.0,27.8,11.0,55 : 45,55.0
351-400,University of Missouri,United States of America,North_America,31.2,31.0,21.0,60.2,31.1,36.8,29885.0,14.1,5.0,53 : 47,53.0
351-400,University of Modena and Reggio Emilia,Italy,Europe,18.7,34.2,15.6,72.9,32.3,35.5,19693.0,25.3,6.0,54 : 46,54.0
351-400,University of Montana,United States of America,North_America,30.8,21.5,13.6,65.5,31.0,35.4,12470.0,15.2,3.0,54 : 46,54.0
351-400,"National University of Ireland, Maynooth",Republic of Ireland,Europe,24.6,75.6,22.8,50.2,36.6,35.9,7653.0,28.0,11.0,55 : 45,55.0
351-400,University of Nebraska Medical Center,United States of America,North_America,37.0,37.7,13.3,64.4,33.6,38.1,2857.0,2.6,8.0,67 : 33,67.0
351-400,University of New Mexico,United States of America,North_America,25.6,28.6,15.4,74.5,37.0,37.7,,,,,
351-400,Norwegian University of Science and Technology,Norway,Europe,16.3,59.9,25.8,59.8,51.8,36.4,17381.0,13.9,9.0,46 : 54,46.0
351-400,University of Oulu,Finland,Europe,23.1,56.9,15.9,62.3,30.9,35.4,14056.0,8.5,6.0,49 : 51,49.0
351-400,Panthéon-Sorbonne University – Paris 1,France,Europe,53.2,47.6,47.6,6.8,28.3,36.6,42215.0,34.3,20.0,59 : 41,59.0
351-400,Polytechnic University of Turin,Italy,Europe,23.7,50.6,18.6,65.9,42.5,37.3,27709.0,19.6,16.0,29 : 71,29.0
351-400,University of Rome III,Italy,Europe,23.1,35.9,21.0,64.8,37.5,36.3,36353.0,61.2,5.0,59 : 41,59.0
351-400,Sabancı University,Turkey,Europe,22.3,42.7,32.3,52.8,70.0,37.2,2739.0,15.9,6.0,39 : 61,39.0
351-400,San Diego State University,United States of America,North_America,20.3,25.9,27.0,62.7,29.3,35.7,27420.0,31.7,5.0,57 : 43,57.0
351-400,University of South Australia,Australia,Oceania,26.4,89.0,26.7,41.2,85.9,37.1,18971.0,26.2,32.0,59 : 41,59.0
351-400,University of South Carolina,United States of America,North_America,31.1,24.5,21.5,58.7,30.3,36.0,29336.0,16.3,1.0,55 : 45,55.0
